SPOE;BZ;OEVP;WBER;FPOE;WIFF;GRUE;SLP;GFW;FREIE;M;ANDAS;NEOS;SPR;ABG.;UNG.;WWW;WK
27;1;15;0;14;0;10;0;0;0;0;1;9;0;80;4;0;1
128;1;75;715;86;0;40;0;0;0;0;4;44;1;387;10;0;1
141;1;67;686;106;0;38;0;0;0;0;5;40;2;403;6;0;1
173;1;62;663;74;0;48;0;0;0;0;6;22;3;402;12;5;1
55;1;36;332;45;0;21;0;3;0;0;2;13;4;178;3;0;1
112;1;103;805;101;0;44;0;2;0;0;6;48;5;419;3;0;1
92;1;57;571;61;0;38;0;4;0;0;1;44;6;308;9;2;1
102;1;71;611;67;0;26;0;1;0;0;1;32;7;311;11;0;1
106;1;57;590;70;0;27;0;0;0;0;2;47;8;317;6;2;1
145;1;63;786;95;0;59;0;0;0;0;3;60;9;436;11;0;1
149;1;60;732;73;0;72;0;1;0;0;1;32;10;391;3;0;1
83;1;61;485;57;0;36;0;0;1;0;1;20;11;260;1;0;1
108;1;78;656;81;0;38;0;1;0;0;2;57;12;372;7;0;1
98;1;62;570;80;0;34;0;0;0;0;1;28;13;313;10;0;1
90;1;63;539;72;0;56;0;0;0;0;1;39;14;330;8;1;1
176;1;70;774;113;0;59;0;0;0;0;3;49;15;475;5;0;1
107;1;54;515;49;0;40;0;1;2;0;4;21;16;287;9;0;1
124;1;62;737;92;0;56;0;1;0;0;5;47;17;393;6;0;1
106;1;59;562;62;0;33;0;0;0;0;2;37;18;304;5;0;1
740;1;533;0;467;0;277;0;4;2;0;6;273;19;2336;30;4;1
36;4;15;0;24;0;26;0;0;0;0;0;9;0;112;2;0;1
196;4;86;872;100;0;89;0;0;1;0;3;64;1;551;11;1;1
174;4;57;1030;90;0;57;0;4;2;0;4;62;2;456;6;0;1
152;4;69;820;75;0;78;0;0;0;0;2;63;3;445;6;0;1
216;4;49;946;96;0;79;0;5;0;0;3;76;4;540;16;0;1
201;4;30;846;79;0;116;0;3;0;0;7;53;5;506;15;2;1
243;4;59;963;98;0;132;0;0;0;0;7;44;6;594;10;1;1
218;4;60;978;92;0;110;0;0;0;0;5;75;7;577;16;1;1
186;4;69;965;109;0;127;0;1;0;0;11;53;8;563;6;1;1
234;4;53;900;125;0;100;0;0;0;0;6;45;9;594;29;2;1
179;4;44;708;77;0;77;0;0;0;0;3;25;10;450;44;1;1
163;4;48;730;86;0;81;0;0;0;0;1;40;11;431;12;0;1
196;4;23;722;122;0;34;0;1;0;0;2;22;12;409;9;0;1
188;4;57;979;117;0;115;0;0;1;0;13;44;13;557;22;0;1
191;4;56;856;96;0;108;0;0;1;0;9;51;14;534;17;5;1
125;4;39;596;60;0;56;0;2;1;0;3;36;15;336;14;0;1
134;4;46;718;93;0;83;0;0;1;0;7;34;16;405;7;0;1
233;4;44;960;116;0;79;0;2;1;0;11;56;17;568;26;0;1
207;4;65;984;123;0;121;0;1;0;0;4;35;18;580;23;1;1
217;4;69;1053;120;0;119;0;2;0;0;16;58;19;635;33;1;1
191;4;65;912;119;0;117;0;1;1;0;7;44;20;572;26;1;1
198;4;62;934;98;0;77;0;1;0;0;6;48;21;512;22;0;1
205;4;100;1073;114;0;98;0;0;0;0;8;66;22;595;4;0;1
164;4;32;674;101;0;53;0;3;0;0;6;21;23;383;2;1;1
1356;4;554;0;579;0;816;0;1;2;0;35;403;24;3787;37;4;1
